Month,Airline ID,Port_Country,Passengers_In,Passengers_Out,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes)
May-85,751,China,292.0,219.0,4.851,1.428,0.0,0.0
May-85,345,New Zealand,22589.0,20166.0,1222.087,661.422,0.464,0.166
May-85,328,Papua New Guinea,1397.0,1558.0,21.903,101.248,0.0,0.0
May-85,879,Fiji,4828.0,5027.0,20.626,174.165,0.0,0.0
May-85,879,Solomon Islands,507.0,511.0,1.959,11.117,0.0,0.0
May-85,879,Vanuatu,75.0,100.0,0.024,1.253,0.0,0.0
May-85,524,Vanuatu,586.0,417.0,0.158,1.675,0.0,0.0
May-85,596,India,10.0,7.0,1.698,0.065,0.0,0.0
May-85,596,Italy,937.0,2374.0,91.328,21.587,0.0,0.0
May-85,596,Singapore,344.0,555.0,14.75,84.54,0.0,0.0
May-85,596,Thailand,123.0,152.0,10.47,24.31,0.0,0.0
May-85,1355,India,165.0,118.0,7.2,0.7,0.0,0.0
May-85,1572,India,165.0,118.0,7.2,0.7,0.0,0.0
May-85,1355,New Zealand,2053.0,2001.0,49.3,38.1,0.0,0.0
May-85,1572,New Zealand,2053.0,2001.0,49.3,38.1,0.0,0.0
May-85,1355,Oman,96.0,273.0,0.9,52.5,0.0,0.0
May-85,1572,Oman,96.0,273.0,0.9,52.5,0.0,0.0
May-85,1355,Singapore,2754.0,3616.0,107.3,322.1,0.0,0.0
May-85,1572,Singapore,2754.0,3616.0,107.3,322.1,0.0,0.0
May-85,1355,UK,4729.0,7795.0,337.4,65.3,0.0,0.0
May-85,1572,UK,4729.0,7795.0,337.4,65.3,0.0,0.0
May-85,1355,United Arab Emirates,205.0,269.0,0.0,97.9,0.0,0.0
May-85,1572,United Arab Emirates,205.0,269.0,0.0,97.9,0.0,0.0
May-85,1881,Fiji,448.0,781.0,14.287,57.02,0.0,0.0
May-85,1881,New Zealand,3042.0,2537.0,122.335,206.298,0.0,0.0
May-85,1881,USA,3207.0,3771.0,235.476,175.815,0.0,0.0
May-85,2520,Indonesia,6922.0,8431.0,231.881,279.448,0.0,0.0
May-85,2987,Japan,3765.0,4923.0,162.859,145.078,0.0,0.0
May-85,3090,Netherlands,541.0,1194.0,45.863,3.312,0.0,0.0
May-85,3090,Sri Lanka,313.0,332.0,1.565,4.12,0.0,0.0
May-85,3090,United Arab Emirates,42.0,68.0,0.027,66.607,0.0,0.0
May-85,3378,Malaysia,6196.0,8131.0,384.403,467.142,2.286,0.944
May-85,3952,Philippines,3817.0,4150.0,234.266,149.695,0.0,0.0
May-85,4013,Western Samoa,17.0,349.0,0.015,3.545,0.0,0.0
May-85,4255,Brunei,220.0,206.0,0.567,11.308,0.0,0.0
May-85,4435,Singapore,12516.0,15636.0,734.261,940.04,0.0,0.0
May-85,4305,Mauritius,298.0,242.0,9.351,0.955,0.0,0.0
May-85,4305,South Africa,1361.0,1169.0,50.22,30.31,0.0,0.0
May-85,4940,Singapore,0.0,689.0,0.0,56.879,0.0,0.0
May-85,4940,Thailand,4288.0,5722.0,188.459,188.196,0.0,0.0
Jun-85,751,China,271.0,144.0,6.279,3.837,0.0,0.0
Jun-85,345,New Zealand,24619.0,23193.0,1298.606,768.796,0.684,0.255
Jun-85,328,Papua New Guinea,1277.0,1652.0,19.956,101.423,0.0,0.0
Jun-85,879,Fiji,4464.0,4392.0,14.721,115.097,0.0,0.0
Jun-85,879,Solomon Islands,346.0,467.0,1.134,11.034,0.0,0.0
Jun-85,879,Vanuatu,116.0,151.0,0.689,2.215,0.0,0.0
Jun-85,524,Vanuatu,790.0,603.0,1.803,2.104,0.0,0.0
Jun-85,596,Italy,896.0,2781.0,87.74,31.474,0.0,0.0
Jun-85,596,Singapore,926.0,510.0,20.726,104.295,0.0,0.0
Jun-85,596,Thailand,118.0,138.0,8.745,8.967,0.0,0.0
Jun-85,1355,India,128.0,100.0,9.3,0.5,0.0,0.0
Jun-85,1572,India,128.0,100.0,9.3,0.5,0.0,0.0
Jun-85,1355,New Zealand,2235.0,1916.0,81.9,38.8,0.0,0.0
Jun-85,1572,New Zealand,2235.0,1916.0,81.9,38.8,0.0,0.0
Jun-85,1355,Oman,91.0,317.0,9.2,51.6,0.0,0.0
Jun-85,1572,Oman,91.0,317.0,9.2,51.6,0.0,0.0
Jun-85,1355,Singapore,2818.0,3429.0,89.8,241.1,0.0,0.0
Jun-85,1572,Singapore,2818.0,3429.0,89.8,241.1,0.0,0.0
Jun-85,1355,UK,5536.0,8159.0,366.7,90.2,0.0,0.0
Jun-85,1572,UK,5536.0,8159.0,366.7,90.2,0.0,0.0
Jun-85,1355,United Arab Emirates,300.0,244.0,0.0,116.4,0.0,0.0
Jun-85,1572,United Arab Emirates,300.0,244.0,0.0,116.4,0.0,0.0
Jun-85,1881,Fiji,384.0,474.0,22.265,44.603,0.0,0.0
Jun-85,1881,New Zealand,2543.0,2037.0,111.096,162.837,0.0,0.0
Jun-85,1881,Singapore,0.0,142.0,0.0,7.028,0.0,0.0
Jun-85,1881,USA,3383.0,3997.0,218.11,208.848,0.0,0.0
Jun-85,2520,Indonesia,6237.0,7700.0,288.389,189.661,0.0,0.0
Jun-85,2987,Japan,4377.0,4388.0,181.605,303.253,0.0,0.0
Jun-85,3090,Netherlands,607.0,923.0,36.965,9.56,0.0,0.0
Jun-85,3090,Sri Lanka,260.0,199.0,1.14,6.183,0.0,0.0
Jun-85,3090,United Arab Emirates,24.0,49.0,0.073,45.917,0.0,0.0
Jun-85,3378,Malaysia,4448.0,6100.0,334.754,402.604,3.144,0.887
Jun-85,3952,Philippines,3782.0,3990.0,246.629,108.615,0.0,0.0
Jun-85,4013,Western Samoa,49.0,258.0,0.014,1.316,0.0,0.0
Jun-85,4255,Brunei,194.0,347.0,0.105,12.885,0.0,0.0
Jun-85,4435,Singapore,11902.0,14197.0,659.736,890.459,0.0,0.0
Jun-85,4305,Mauritius,293.0,299.0,10.342,1.367,0.0,0.0
Jun-85,4305,South Africa,1087.0,1264.0,31.888,28.661,0.0,0.0
Jun-85,4940,Singapore,0.0,659.0,0.0,24.515,0.0,0.0
Jun-85,4940,Thailand,4616.0,5580.0,254.421,154.307,0.0,0.0
Jul-85,751,China,221.0,193.0,12.788,2.51,0.0,0.0
Jul-85,345,New Zealand,19573.0,16324.0,1039.719,664.795,1.047,0.169
Jul-85,328,Papua New Guinea,2630.0,2432.0,13.534,90.055,0.0,0.0
Jul-85,879,Fiji,5676.0,6359.0,25.003,108.15,0.0,0.0
Jul-85,879,Solomon Islands,542.0,512.0,1.998,12.409,0.0,0.0
Jul-85,879,Vanuatu,106.0,107.0,0.079,3.739,0.0,0.0
Jul-85,524,Vanuatu,317.0,327.0,0.24,1.721,0.0,0.0
Jul-85,596,Italy,2045.0,3236.0,77.17,33.169,0.0,0.0
Jul-85,596,Singapore,527.0,464.0,29.327,46.501,0.0,0.0
