Month,Airline,Port_Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Year,Month_num
Feb-85,Canadian Airlines Intl,Canada,850,20.097,0,815,72.488,0,1985,2
Feb-85,Canadian Airlines Intl,Fiji,397,0.689,0,580,61.378,0,1985,2
Feb-85,Canadian Airlines Intl,USA,842,55.194,0,698,23.873,0,1985,2
Feb-85,Cathay Pacific Airways,Hong Kong,10084,290.761,0,7204,606.285,0,1985,2
Feb-85,Continental Airlines,Fiji,477,17.881,0,436,43.794,0,1985,2
Feb-85,Continental Airlines,New Zealand,2423,132.63,0,2577,135.327,0,1985,2
Feb-85,Continental Airlines,USA,3447,234.11,0,3297,162.457,0,1985,2
Feb-85,Flying Tiger Line,USA,0,491.926,0,0,0,0,1985,2
Feb-85,Garuda Indonesia,Indonesia,7535,228.72,0,5967,339.721,0,1985,2
Feb-85,Japan Airlines,Japan,3745,106.701,0,3587,132.125,0,1985,2
Feb-85,KLM Royal Dutch Airlines,Netherlands,907,36.229,0,767,4.328,0,1985,2
Feb-85,KLM Royal Dutch Airlines,Sri Lanka,426,1.229,0,205,9.117,0,1985,2
Feb-85,KLM Royal Dutch Airlines,United Arab Emirates,69,0.98,0,37,59.967,0,1985,2
Feb-85,Lufthansa German Airlines,Germany,1487,381.448,0,962,195.779,0,1985,2
Feb-85,Lufthansa German Airlines,Malaysia,140,0.447,0,97,167.405,0,1985,2
Feb-85,Lufthansa German Airlines,United Arab Emirates,26,0.828,0,8,58.389,0,1985,2
Feb-85,Malaysia Airlines,Malaysia,5867,264.101,1.68,5414,365.209,0.911,1985,2
Feb-85,Olympic Airways,Greece,2496,68.55,0,1688,1.081,0,1985,2
Feb-85,Olympic Airways,Singapore,88,0,0,97,0,0,1985,2
Feb-85,Pan American,New Zealand,1489,114.656,0,1556,166.324,0,1985,2
Feb-85,Pan American,USA,3896,51.288,0,3447,124.743,0,1985,2
Feb-85,Philippine Airlines,Philippines,4121,230.926,0,3471,96.859,0,1985,2
Feb-85,Polynesian Airlines,Western Samoa,128,2.78,0,137,5.082,0,1985,2
Feb-85,Qantas Airways,Bahrain,240,0.79,0.376,211,47.511,2.676,1985,2
Feb-85,Qantas Airways,Canada,296,2.873,0,421,4.618,2.793,1985,2
Feb-85,Qantas Airways,China,1076,10.47,0.123,1185,3.145,0,1985,2
Feb-85,Qantas Airways,Fiji,2801,17.034,0.103,2639,74.426,1.742,1985,2
Feb-85,Qantas Airways,Germany,1717,288.807,9.061,1529,11.167,12.21,1985,2
Feb-85,Qantas Airways,Greece,844,7.003,1.459,640,6.544,2.723,1985,2
Feb-85,Qantas Airways,Hong Kong,8192,236.602,2.687,4786,338.626,6.989,1985,2
Feb-85,Qantas Airways,India,359,6.261,1.071,351,0.819,1.691,1985,2
Feb-85,Qantas Airways,Indonesia,4130,65.958,1.113,3454,28.745,1.146,1985,2
Feb-85,Qantas Airways,Italy,1578,33.278,3.936,1067,1.858,3.487,1985,2
Feb-85,Qantas Airways,Japan,2805,307.391,19.557,2611,107.568,7.369,1985,2
Feb-85,Qantas Airways,Netherlands,477,25.064,0.984,427,5.616,2.835,1985,2
Feb-85,Qantas Airways,New Caledonia,451,1,0.168,695,42.08,0.424,1985,2
Feb-85,Qantas Airways,New Zealand,23352,1499.745,22.805,25456,545.03,56.23,1985,2
Feb-85,Qantas Airways,Papua New Guinea,1884,17.769,2.813,2233,74.393,17.062,1985,2
Feb-85,Qantas Airways,Philippines,1890,127.155,0.123,758,33.859,1.643,1985,2
Feb-85,Qantas Airways,Singapore,13906,163.681,8.996,7784,952.443,9.026,1985,2
Feb-85,Qantas Airways,Tahiti,1227,0.114,0.197,1403,76.649,0.916,1985,2
Feb-85,Qantas Airways,Thailand,1075,10.951,0.609,542,9.883,1.129,1985,2
Feb-85,Qantas Airways,UK,6664,377.176,3.04,6354,56.915,48.646,1985,2
Feb-85,Qantas Airways,USA,8539,579.734,0,7839,328.546,46.362,1985,2
Feb-85,Qantas Airways,Vanuatu,510,0.971,0,470,1.549,0,1985,2
Feb-85,Qantas Airways,Yugoslavia,542,0.179,0.526,268,1.206,0.303,1985,2
Feb-85,Qantas Airways,Zimbabwe,835,7.559,0,714,11.189,0.295,1985,2
Feb-85,Royal Brunei Airlines,Brunei,255,0.02,0,239,2.522,0,1985,2
Feb-85,Singapore Airlines,Singapore,14983,636.312,0,11983,1080.949,0,1985,2
Feb-85,South African Airways,Mauritius,309,8.88,0,223,0.679,0,1985,2
Feb-85,South African Airways,South Africa,947,37.263,0,1050,21.796,0,1985,2
Feb-85,Thai Airways International,Singapore,0,0,0,523,34.717,0,1985,2
Feb-85,Thai Airways International,Thailand,5176,228.295,0,4865,263.979,0,1985,2
Feb-85,Union de Transports Aeriens,Bahrain,10,0,0,111,6.9,0,1985,2
Feb-85,Union de Transports Aeriens,France,283,2.125,0,276,48.215,0,1985,2
Feb-85,Union de Transports Aeriens,Indonesia,289,0.048,0,119,6.086,0,1985,2
Feb-85,Union de Transports Aeriens,New Caledonia,644,36.197,0,702,89.147,0,1985,2
Feb-85,Union de Transports Aeriens,Tahiti,377,6.961,0,217,13.03,0,1985,2
Feb-85,Yugoslav Airlines,United Arab Emirates,48,2.011,0,45,75.462,0,1985,2
Feb-85,Yugoslav Airlines,Yugoslavia,1782,94.116,0,1371,3.353,0,1985,2
Mar-85,Air Caledonie,New Caledonia,117,0.141,0,136,3.091,0,1985,3
Mar-85,Air China,China,402,2.055,0,142,14.214,0,1985,3
Mar-85,Air India,India,1017,53.814,0,1468,10.635,0,1985,3
Mar-85,Air India,Singapore,288,15.498,0,232,115.979,0,1985,3
Mar-85,Air Nauru,Nauru,148,1.004,0,106,27.153,0,1985,3
Mar-85,Air New Zealand,New Zealand,29326,1564.879,0.921,27703,828.009,0.273,1985,3
Mar-85,Air Niugini,Papua New Guinea,1574,15.205,0,1677,116.83,0,1985,3
Mar-85,Air Pacific,Fiji,4087,20.133,0,4439,143.394,0,1985,3
Mar-85,Air Pacific,Solomon Islands,341,2.311,0,330,10.877,0,1985,3
Mar-85,Air Pacific,Vanuatu,145,0.576,0,161,4.266,0,1985,3
Mar-85,Air Vanuatu,Vanuatu,605,0.632,0,454,0,0,1985,3
Mar-85,Alitalia,India,149,14.135,0,151,4.062,0,1985,3
Mar-85,Alitalia,Italy,1141,108.914,0,1782,57.831,0,1985,3
Mar-85,Alitalia,New Zealand,0,0,0,38,0.053,0,1985,3
Mar-85,Alitalia,Singapore,473,8.964,0,567,130.871,0,1985,3
Mar-85,Alitalia,Thailand,137,2.188,0,78,4.278,0,1985,3
Mar-85,British Airways,Brunei,43,0,0,61,83.9,0,1985,3
Mar-85,British Airways,India,247,2.4,0,241,2,0,1985,3
Mar-85,British Airways,Malaysia,174,0.7,0,226,34.3,0,1985,3
Mar-85,British Airways,New Zealand,2185,43,0,2382,42.9,0,1985,3
Mar-85,British Airways,Oman,413,1.4,0,445,76.1,0,1985,3
Mar-85,British Airways,Singapore,2260,90.8,0,2898,343.7,0,1985,3
Mar-85,British Airways,UK,5728,349.9,0,6933,60.2,0,1985,3
Mar-85,British Airways,United Arab Emirates,385,0.3,0,168,63.7,0,1985,3
Mar-85,Canadian Airlines Intl,Canada,858,18.629,0,903,74.668,0,1985,3
Mar-85,Canadian Airlines Intl,Fiji,465,1.768,0,623,52.313,0,1985,3
Mar-85,Canadian Airlines Intl,USA,904,88.467,0,662,47.376,0,1985,3
Mar-85,Cathay Pacific Airways,Hong Kong,10076,277.779,0,10722,755.893,0,1985,3
Mar-85,Continental Airlines,Fiji,284,4.916,0,315,34.574,0,1985,3
Mar-85,Continental Airlines,New Zealand,3767,124.082,0,3404,215.982,0,1985,3
Mar-85,Continental Airlines,USA,3630,275.021,0,5322,289.812,0,1985,3
Mar-85,Flying Tiger Line,USA,0,672.414,0,0,0,0,1985,3
Mar-85,Garuda Indonesia,Indonesia,6770,272.061,0,8114,361.029,0,1985,3
Mar-85,Japan Airlines,Japan,3777,120.607,0,4148,200.048,0,1985,3
Mar-85,KLM Royal Dutch Airlines,Germany,18,0.268,0,0,0,0,1985,3
Mar-85,KLM Royal Dutch Airlines,Netherlands,632,53.446,0,1113,12.493,0,1985,3
Mar-85,KLM Royal Dutch Airlines,Sri Lanka,304,1.351,0,327,6.184,0,1985,3
Mar-85,KLM Royal Dutch Airlines,United Arab Emirates,15,0.293,0,51,75.893,0,1985,3
Mar-85,Lufthansa German Airlines,Germany,1210,352.464,0,1442,97.179,0,1985,3
Mar-85,Lufthansa German Airlines,Malaysia,139,3.066,0,192,182.029,0,1985,3
Mar-85,Lufthansa German Airlines,United Arab Emirates,18,0.352,0,8,155.669,0,1985,3
Mar-85,Malaysia Airlines,Malaysia,5597,331.027,2.186,7108,440.743,2.569,1985,3
Mar-85,Olympic Airways,Greece,1718,74.323,0,2697,9.386,0,1985,3
Mar-85,Olympic Airways,Singapore,231,0,0,148,0,0,1985,3
Mar-85,Pan American,USA,1687,1.6,0,2927,0.006,0,1985,3
Mar-85,Philippine Airlines,Philippines,3950,223.698,0,4140,98.594,0,1985,3
Mar-85,Polynesian Airlines,Western Samoa,0,0,0,93,2.418,0,1985,3
Mar-85,Qantas Airways,Bahrain,218,0.795,0.468,199,55.416,2.804,1985,3
Mar-85,Qantas Airways,Canada,416,9.906,0,569,28.543,3.65,1985,3
Mar-85,Qantas Airways,China,650,34.107,0.129,548,4.899,0.005,1985,3
Mar-85,Qantas Airways,Fiji,1397,13.794,0.084,1534,90.939,1.058,1985,3
Mar-85,Qantas Airways,Germany,1282,339.255,13.269,1719,54.611,14.731,1985,3
Mar-85,Qantas Airways,Greece,330,0.92,1.308,1085,2.688,3.727,1985,3
Mar-85,Qantas Airways,Hong Kong,7095,200.037,2.672,7457,706.322,8.054,1985,3
Mar-85,Qantas Airways,India,374,8.81,1.519,347,1.228,1.986,1985,3
Mar-85,Qantas Airways,Indonesia,4360,90.34,1.349,4628,51.337,1.269,1985,3
Mar-85,Qantas Airways,Italy,910,40.17,6.785,1570,10.382,5.109,1985,3
Mar-85,Qantas Airways,Japan,3234,363.524,24.505,3733,184.197,9.388,1985,3
Mar-85,Qantas Airways,Netherlands,318,45.365,1.047,627,1.363,3.284,1985,3
Mar-85,Qantas Airways,New Caledonia,549,9.266,0.216,390,66.548,0.661,1985,3
Mar-85,Qantas Airways,New Zealand,32212,1706.383,29.33,30211,789.715,69.935,1985,3
Mar-85,Qantas Airways,Papua New Guinea,2266,21.74,3.387,2225,125.327,21.842,1985,3
Mar-85,Qantas Airways,Philippines,1454,152.7,0.152,1196,56.008,1.961,1985,3
Mar-85,Qantas Airways,Singapore,10075,182.794,10.834,10189,1167.466,9.793,1985,3
Mar-85,Qantas Airways,Tahiti,1067,0.149,0.201,1925,72.224,0.944,1985,3
Mar-85,Qantas Airways,Thailand,1084,17.305,0.794,781,13.138,1.333,1985,3
Mar-85,Qantas Airways,UK,8020,474.613,6.347,9000,77.051,56.417,1985,3
Mar-85,Qantas Airways,USA,11118,719.671,1.963,13906,553.203,52.803,1985,3
Mar-85,Qantas Airways,Vanuatu,305,0.162,0,276,0.235,0,1985,3
Mar-85,Qantas Airways,Yugoslavia,286,0.255,0.638,353,1.288,0.398,1985,3
Mar-85,Qantas Airways,Zimbabwe,854,6.855,0,713,14.108,0.341,1985,3
Mar-85,Royal Brunei Airlines,Brunei,209,0.118,0,376,3.478,0,1985,3
Mar-85,Singapore Airlines,Singapore,13246,709.615,0,16018,1176.885,0,1985,3
Mar-85,South African Airways,Mauritius,258,20.369,0,294,1.099,0,1985,3
Mar-85,South African Airways,South Africa,1125,38.079,0,1251,30.146,0,1985,3
Mar-85,Thai Airways International,Singapore,0,0,0,715,62.226,0,1985,3
Mar-85,Thai Airways International,Thailand,4334,297.021,0,6591,287.944,0,1985,3
Mar-85,Union de Transports Aeriens,Bahrain,11,0,0,108,6.211,0,1985,3
Mar-85,Union de Transports Aeriens,France,214,1.1,0,397,67.966,0,1985,3
Mar-85,Union de Transports Aeriens,Indonesia,212,0.105,0,210,21.893,0,1985,3
Mar-85,Union de Transports Aeriens,New Caledonia,836,30.793,0,624,97.529,0,1985,3
Mar-85,Union de Transports Aeriens,Tahiti,245,13.89,0,315,7.321,0,1985,3
Mar-85,Yugoslav Airlines,United Arab Emirates,35,11.25,0,35,108.906,0,1985,3
Mar-85,Yugoslav Airlines,Yugoslavia,1479,106.579,0,2190,4.331,0,1985,3
Apr-85,Air Caledonie,New Caledonia,67,0.797,0,99,3.62,0,1985,4
Apr-85,Air China,China,175,2.035,0,184,1.276,0,1985,4
Apr-85,Air India,India,735,48.609,0,1168,26.52,0,1985,4
Apr-85,Air India,Singapore,156,13.349,0,178,50.09,0,1985,4
Apr-85,Air Nauru,Nauru,83,0.483,0,70,24.407,0,1985,4
Apr-85,Air New Zealand,New Zealand,23388,1066.855,0.7,20720,628.597,0.168,1985,4
Apr-85,Air Niugini,Papua New Guinea,1908,20.555,0,1923,83.551,0,1985,4
Apr-85,Air Pacific,Fiji,4358,16.752,0,4609,127.88,0,1985,4
Apr-85,Air Pacific,Solomon Islands,442,1.362,0,507,13.617,0,1985,4
Apr-85,Air Pacific,Vanuatu,99,0.352,0,141,2.054,0,1985,4
Apr-85,Air Vanuatu,Vanuatu,263,0.548,0,134,0,0,1985,4
Apr-85,Alitalia,India,69,7.38,0,76,1.175,0,1985,4
Apr-85,Alitalia,Italy,1012,117.134,0,2084,52.366,0,1985,4
Apr-85,Alitalia,Singapore,397,17.833,0,599,122.555,0,1985,4
Apr-85,Alitalia,Thailand,74,5.031,0,126,14.859,0,1985,4
Apr-85,British Airways,Brunei,3,0,0,16,25.7,0,1985,4
Apr-85,British Airways,India,161,7.9,0,104,0.6,0,1985,4
Apr-85,British Airways,New Zealand,2181,43.7,0,1665,24.9,0,1985,4
Apr-85,British Airways,Oman,85,1.2,0,381,74.6,0,1985,4
Apr-85,British Airways,Singapore,1871,77,0,2958,284.6,0,1985,4
Apr-85,British Airways,UK,3789,298.7,0,8163,88.6,0,1985,4
Apr-85,British Airways,United Arab Emirates,274,0,0,215,65.6,0,1985,4
Apr-85,Canadian Airlines Intl,Canada,724,13.181,0,1345,50.68,0,1985,4
Apr-85,Canadian Airlines Intl,Fiji,514,0.364,0,777,75.279,0,1985,4
Apr-85,Canadian Airlines Intl,USA,747,69.138,0,732,39.787,0,1985,4
Apr-85,Cathay Pacific Airways,Hong Kong,10125,242.041,0,10468,602.652,0,1985,4
Apr-85,Continental Airlines,Fiji,515,11.608,0,743,40.694,0,1985,4
Apr-85,Continental Airlines,New Zealand,3123,105.889,0,2679,207.216,0,1985,4
Apr-85,Continental Airlines,USA,3650,224.029,0,4065,138.891,0,1985,4
Apr-85,Flying Tiger Line,USA,0,677.895,0,0,0,0,1985,4
Apr-85,Garuda Indonesia,Indonesia,5442,205.982,0,7885,285.597,0,1985,4
Apr-85,Japan Airlines,Japan,4191,149.551,0,4669,114.716,0,1985,4
Apr-85,KLM Royal Dutch Airlines,Netherlands,393,35.23,0,975,4.506,0,1985,4
Apr-85,KLM Royal Dutch Airlines,Sri Lanka,221,0.991,0,250,3.667,0,1985,4
Apr-85,KLM Royal Dutch Airlines,United Arab Emirates,32,0.537,0,81,42.129,0,1985,4
Apr-85,Lufthansa German Airlines,Germany,825,342.436,0,1599,85.487,0,1985,4
Apr-85,Lufthansa German Airlines,Malaysia,55,0.833,0,160,108.845,0,1985,4
Apr-85,Lufthansa German Airlines,United Arab Emirates,5,0.326,0,22,169.365,0,1985,4
Apr-85,Malaysia Airlines,Malaysia,5179,478.244,2.013,6228,400.068,1.003,1985,4
Apr-85,Olympic Airways,Greece,1104,76.643,0,2671,9.313,0,1985,4
Apr-85,Olympic Airways,Singapore,98,0,0,81,0,0,1985,4
Apr-85,Pan American,New Zealand,516,66.718,0,557,56.094,0,1985,4
Apr-85,Pan American,USA,2457,16.573,0,3294,76.636,0,1985,4
Apr-85,Philippine Airlines,Philippines,3688,183.982,0,3895,93.688,0,1985,4
Apr-85,Polynesian Airlines,Western Samoa,0,0,0,205,1.045,0,1985,4
Apr-85,Qantas Airways,Bahrain,342,1.034,0.454,170,75.361,2.413,1985,4
Apr-85,Qantas Airways,Canada,627,9.199,0,752,2.605,2.259,1985,4
Apr-85,Qantas Airways,China,716,9.081,0.178,920,4.999,0.021,1985,4
